Dataset,Total_Cores,mpi,mpi_omp,omp,seq
200k_100,1,1.124,,1.112,1.0
200k_100,2,1.119,0.943,1.108,
200k_100,4,1.088,0.691,1.096,
200k_100,8,1.013,0.647,1.073,
200k_100,16,0.991,0.617,1.02,
200k_100,32,0.879,0.575,0.92,
200k_100,64,0.73,0.469,0.659,
400k_100,1,1.125,,1.113,1.0
400k_100,2,1.125,0.944,1.108,
400k_100,4,1.116,0.675,1.098,
400k_100,8,1.068,0.65,1.081,
400k_100,16,0.598,0.632,1.048,
400k_100,32,1.007,0.587,0.93,
400k_100,64,0.623,0.46,0.669,
800k_100,1,1.123,,1.113,1.0
800k_100,2,1.122,0.944,1.107,
800k_100,4,1.105,0.686,1.097,
800k_100,8,1.045,0.652,1.075,
800k_100,16,1.055,0.625,1.036,
800k_100,32,1.01,0.574,0.952,
800k_100,64,0.73,0.463,0.664,
input100D,1,1.124,,1.112,1.0
input100D,2,1.048,0.943,1.111,
input100D,4,0.964,0.691,1.08,
input100D,8,0.858,0.637,1.062,
input100D,16,0.654,0.595,1.004,
input100D,32,0.486,0.521,0.696,
input100D,64,0.452,0.39,0.356,
input100D2,1,1.125,,1.111,1.0
input100D2,2,1.086,0.943,1.107,
input100D2,4,1.057,0.682,1.093,
input100D2,8,1.011,0.673,1.077,
input100D2,16,0.99,0.655,1.047,
input100D2,32,0.852,0.616,0.921,
input100D2,64,0.752,0.496,0.656,
