Dataset,Total_Cores,cuda,mpi,mpi_omp,omp,seq
input100D,1,33.74,1.12,,1.11,1.0
input100D,2,,2.1,1.89,2.22,
input100D,4,,3.86,2.76,4.32,
input100D,8,,6.87,5.1,8.49,
input100D,16,,10.47,9.52,16.07,
input100D,32,,15.54,16.67,22.26,
input100D,64,,28.9,24.96,22.77,
input100D2,1,68.55,1.12,,1.11,1.0
input100D2,2,,2.17,1.89,2.21,
input100D2,4,,4.23,2.73,4.37,
input100D2,8,,8.09,5.38,8.62,
input100D2,16,,15.84,10.48,16.76,
input100D2,32,,27.27,19.71,29.48,
input100D2,64,,48.13,31.72,41.99,
200k_100,1,69.06,1.12,,1.11,1.0
200k_100,2,,2.24,1.89,2.22,
200k_100,4,,4.35,2.76,4.38,
200k_100,8,,8.11,5.18,8.58,
200k_100,16,,15.85,9.88,16.32,
200k_100,32,,28.14,18.39,29.44,
200k_100,64,,46.74,30.02,42.16,
400k_100,1,65.67,1.13,,1.11,1.0
400k_100,2,,2.25,1.89,2.22,
400k_100,4,,4.46,2.7,4.39,
400k_100,8,,8.55,5.2,8.65,
400k_100,16,,9.57,10.11,16.76,
400k_100,32,,32.22,18.79,29.77,
400k_100,64,,39.84,29.41,42.8,
800k_100,1,66.23,1.12,,1.11,1.0
800k_100,2,,2.24,1.89,2.21,
800k_100,4,,4.42,2.74,4.39,
800k_100,8,,8.36,5.22,8.6,
800k_100,16,,16.87,9.99,16.57,
800k_100,32,,32.33,18.36,30.48,
800k_100,64,,46.7,29.66,42.48,
