Implementation,Dataset,Configuration,Total_Cores,Avg_Time_s,Std_Time_s,Min_Time_s,Max_Time_s,Runs,Speedup,Efficiency,Sequential_Baseline_s
mpi,200k_100,1 processes,1,50.813,0.028,50.786,50.847,5,1.12,1.12,57.128
mpi,200k_100,2 processes,2,25.517,0.12,25.445,25.729,5,2.24,1.12,57.128
mpi,200k_100,4 processes,4,13.125,0.611,12.796,14.209,5,4.35,1.09,57.128
mpi,200k_100,8 processes,8,7.047,0.209,6.8,7.354,5,8.11,1.01,57.128
mpi,200k_100,16 processes,16,3.604,0.222,3.392,3.971,5,15.85,0.99,57.128
mpi,200k_100,32 processes,32,2.03,0.375,1.609,2.525,5,28.14,0.88,57.128
mpi,200k_100,64 processes,64,1.222,0.138,1.065,1.439,5,46.74,0.73,57.128
mpi,400k_100,1 processes,1,101.655,0.121,101.56,101.815,5,1.13,1.13,114.365
mpi,400k_100,2 processes,2,50.814,0.045,50.77,50.881,5,2.25,1.13,114.365
mpi,400k_100,4 processes,4,25.623,0.09,25.523,25.739,5,4.46,1.12,114.365
mpi,400k_100,8 processes,8,13.381,0.516,12.899,14.195,5,8.55,1.07,114.365
mpi,400k_100,16 processes,16,11.955,11.403,6.48,32.349,5,9.57,0.6,114.365
mpi,400k_100,32 processes,32,3.549,0.232,3.234,3.796,5,32.22,1.01,114.365
mpi,400k_100,64 processes,64,2.87,1.16,2.146,4.926,5,39.84,0.62,114.365
mpi,800k_100,1 processes,1,159.342,0.12,159.185,159.47,5,1.12,1.12,178.963
mpi,800k_100,2 processes,2,79.77,0.066,79.71,79.857,5,2.24,1.12,178.963
mpi,800k_100,4 processes,4,40.484,0.724,39.981,41.663,5,4.42,1.11,178.963
mpi,800k_100,8 processes,8,21.416,2.586,20.133,26.031,5,8.36,1.04,178.963
mpi,800k_100,16 processes,16,10.607,0.726,10.024,11.87,5,16.87,1.05,178.963
mpi,800k_100,32 processes,32,5.536,0.34,5.104,6.034,5,32.33,1.01,178.963
mpi,800k_100,64 processes,64,3.832,0.203,3.531,4.096,5,46.7,0.73,178.963
mpi,input100D,1 processes,1,1.158,0.0,1.157,1.158,5,1.12,1.12,1.301
mpi,input100D,2 processes,2,0.621,0.052,0.581,0.678,5,2.1,1.05,1.301
mpi,input100D,4 processes,4,0.337,0.031,0.291,0.378,5,3.86,0.96,1.301
mpi,input100D,8 processes,8,0.189,0.022,0.172,0.217,5,6.87,0.86,1.301
mpi,input100D,16 processes,16,0.124,0.018,0.093,0.134,5,10.47,0.65,1.301
mpi,input100D,32 processes,32,0.084,0.018,0.051,0.095,5,15.54,0.49,1.301
mpi,input100D,64 processes,64,0.045,0.007,0.034,0.051,5,28.9,0.45,1.301
mpi,input100D2,1 processes,1,36.412,0.01,36.402,36.428,5,1.12,1.12,40.952
mpi,input100D2,2 processes,2,18.849,1.382,18.207,21.321,5,2.17,1.09,40.952
mpi,input100D2,4 processes,4,9.683,0.596,9.177,10.67,5,4.23,1.06,40.952
mpi,input100D2,8 processes,8,5.063,0.435,4.63,5.636,5,8.09,1.01,40.952
mpi,input100D2,16 processes,16,2.585,0.101,2.444,2.709,5,15.84,0.99,40.952
mpi,input100D2,32 processes,32,1.502,0.143,1.315,1.689,5,27.27,0.85,40.952
mpi,input100D2,64 processes,64,0.851,0.044,0.794,0.894,5,48.13,0.75,40.952
